STATE,DISTRICT,MUKIM,GAZETTENUM,PRF,ADD,REMOVE,YEAR,MONTH,DAY
Terengganu,Hulu Terengganu,Hulu Terengganu,355,Tembat,0,121.406,2007,4,12
Terengganu,Hulu Terengganu,Hulu Terengganu,946,Tembat,0,6168,2008,8,28
Terengganu,Hulu Terengganu,Hulu Terengganu,1263,Tembat,0,13.986,2009,11,19
Terengganu,Hulu Terengganu,Hulu Terengganu,547,Tembat,0,1.6341,2011,5,26
Terengganu,Hulu Terengganu,Hulu Terengganu,308,Tembat,0,1114.0983,2013,3,28
Terengganu,Hulu Terengganu,Hulu Terengganu,812,Tembat,0,53.2,2016,8,4
Terengganu,Hulu Terengganu,Hulu Terengganu,1307,Tembat,0,5.803,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,1306,Tembat,0,7.708,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,1304,Tembat,0,14.64,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,1308,Tembat,0,20.39,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,1305,Tembat,0,36.21,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,1309,Tembat,0,40.53,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,1310,Tembat,0,379.9,2017,11,23
Terengganu,Hulu Terengganu,Hulu Terengganu,269,Tembat,0,18.399,2018,3,1
Terengganu,Setiu ,Hulu Nerus,198,Bukit Berok,232.4,0,2002,4,25
Terengganu,Hulu Terengganu,Hulu Telemung,198,Bukit Berok,232.4,0,2002,4,25
Terengganu,Setiu ,Hulu Nerus,198,Bukit Berok,232.4,0,2002,4,25
Terengganu,Hulu Terengganu,Hulu Telemung,198,Bukit Berok,232.4,0,2002,4,25
Terengganu,Setiu ,,162,Bukit Berok,0,464.8,2003,3,27
